Gattung;Stamm;Flügel;Startbahnhof Stamm;Zielbahnhof Stamm;Startbahnhof Flügel;Zielbahnhof Flügel;Gültigkeit
NJ;467;467;Zürich HB;Wien Hb;Zürich HB;Wien Hb;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
NJ;13487;13487;Zürich HB;Wien Hb;Zürich HB;Wien Hb;14.VI.2026 - 14.X.2026
EN;467;40467;Zürich HB;Salzburg Hbf;Zürich HB;Budapest-Keleti;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
EN;13487;40467;Zürich HB;Salzburg Hbf;Zürich HB;Budapest-Keleti;14.VI.2026 - 14.X.2026
EN;463;40467;Salzburg Hbf;Budapest-Keleti;Zürich HB;Budapest-Keleti;
NJ;466;466;Wien Hbf;Zürich HB;Wien Hbf;Zürich HB;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
NJ;13486;13486;Wien Hbf;Zürich HB;Wien Hbf;Zürich HB;14.VI.2026 - 14.X.2026
EN;462;40462;Budapest-Keleti;Salzburg Hbf;Budapest-Keleti;Zürich HB;
EN;466;40462;Salzburg Hbf;Zürich HB;Budapest-Keleti;Zürich HB;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
EN;13486;40462;Salzburg Hbf;Zürich HB;Budapest-Keleti;Zürich HB;14.VI.2026 - 14.X.2026
NJ;465;465;Zürich HB;Graz Hbf;Zürich HB;Graz Hbf;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
NJ;13485;13485;Zürich HB;Graz Hbf;Zürich HB;Graz Hbf;14.VI.2026 - 14.X.2026
EN;465;40465;Zürich HB;Schwarzach-St. Veit;Zürich HB;Zagreb Gl. Kol.;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
EN;13485;40465;Zürich HB;Schwarzach-St. Veit;Zürich HB;Zagreb Gl. Kol.;14.VI.2026 - 14.X.2026
EN;415;40465;Schwarzach-St. Veit;Zagreb Gl. Kol.;Zürich HB;Zagreb Gl. Kol.;
NJ;464;464;Graz Hbf;Zürich HB;Graz Hbf;Zürich HB;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
NJ;13484;13484;Graz Hbf;Zürich HB;Graz Hbf;Zürich HB;14.VI.2026 - 14.X.2026
EN;414;40414;Zagreb Gl. Kol.;Schwarzach-St. Veit;Zagreb Gl. Kol.;Zürich HB;
EN;464;40414;Schwarzach-St. Veit;Zürich HB;Zagreb Gl. Kol.;Zürich HB;14.XII.2025 - 13.VI.2026 + 15.X.2026 - 12.XII.2026
EN;13484;40414;Schwarzach-St. Veit;Zürich HB;Zagreb Gl. Kol.;Zürich HB;14.VI.2026 - 14.X.2026
NJ;402;402;Zürich HB;Amsterdam C;Zürich HB;Amsterdam C;
IC;402;60402;Zürich HB;Amsterdam C;Zürich HB;Amsterdam C;
NJ;403;403;Amsterdam C;Zürich HB;Amsterdam C;Zürich HB;
IC;403;60403;Amsterdam C;Zürich HB;Amsterdam C;Zürich HB;
NJ;470;470;Zürich HB;Hamburg-Altona;Zürich HB;Hamburg-Altona;
IC;470;60470;Zürich HB;Hamburg-Altona;Zürich HB;Hamburg-Altona;
NJ;471;471;Hamburg-Altona;Zürich HB;Hamburg-Altona;Zürich HB;
IC;471;60471;Hamburg-Altona;Zürich HB;Hamburg-Altona;Zürich HB;
EC;459;459;Zürich HB;Praha hl.n.;Zürich HB;Praha hl.n.;
EN;459;40459;Zürich HB;Praha hl.n.;Zürich HB;Praha hl.n.;
NJ;459;409;Zürich HB;Leipzig Hbf;Zürich HB;Berlin Hbf;
NJ;409;409;Leipzig Hbf;Berlin Hbf;Zürich HB;Berlin Hbf;
IC;459;60409;Zürich HB;Leipzig Hbf;Zürich HB;Berlin Hbf;
IC;409;60409;Leipzig Hbf;Berlin Hbf;Zürich HB;Berlin Hbf;
EC;458;458;Praha hl.n.;Zürich HB;Praha hl.n.;Zürich HB;
EN;458;40458;Praha hl.n.;Zürich HB;Praha hl.n.;Zürich HB;
NJ;408;408;Berlin Hbf;Leipzig Hbf;Berlin Hbf;Zürich HB;
NJ;458;408;Leipzig Hbf;Zürich HB;Berlin Hbf;Zürich HB;
IC;408;60408;Berlin Hbf;Leipzig Hbf;Berlin Hbf;Zürich HB;
IC;458;60408;Leipzig Hbf;Zürich HB;Berlin Hbf;Zürich HB;
